Time Step,Optical Drone Observation,Emergency Detected,Optical Drone Battery,FTP Drone Battery,Distance Between Drones,Optical Drone Speed,FTP Drone Speed,Rescue Time,Drop Accuracy
0,1,1,169.9523908841345,194.575141928214,166.7204594436723,20.0,5,0,
1,2,1,153.18156021734598,191.5328095761546,195.05446848429864,20.0,5,0,195.05446848429864
2,3,0,137.84401955287393,189.0960361992341,181.87172744798994,20.0,5,0,181.87172744798994
3,4,1,120.35631900195898,183.79854592128694,182.96695587279072,20.0,5,0,182.96695587279072
4,5,1,92.39088138914293,182.9682077517483,193.57594726762173,20.0,5,0,193.57594726762173
5,6,0,76.40886623930494,176.65427714191014,204.04538464232428,20.0,5,5,204.04538464232428
6,7,1,56.840695827046794,173.35914668278664,43.60888866931582,20.0,5,6,
7,8,1,40.89683421169106,169.25704389685635,347.41043574792167,20.0,5,7,
8,9,0,18.02014477363132,164.7649947553396,474.9003118174175,20.0,5,7,
9,10,0,-15.312571539598597,160.46972084258957,498.07463336637755,20.0,5,9,498.07463336637755
10,11,0,-38.97164708335614,156.79543947096082,376.6416020211067,20.0,5,9,
11,12,0,-72.7555712028977,152.1556952423416,375.10848184857184,20.0,5,11,
12,13,1,-94.14555219148872,146.99166418628997,530.3351101391721,20.0,5,12,530.3351101391721
13,14,1,-123.3348737220891,145.61510686315683,512.8600459424437,20.0,5,13,512.8600459424437
14,15,0,-156.2620077677642,141.199775158065,165.7589594840592,20.0,5,13,
15,16,1,-185.93013825622117,136.3806051852569,188.85891176720344,20.0,5,13,
16,17,0,-203.2789390298753,130.3676200657109,203.20868913261887,20.0,5,13,203.20868913261887
17,18,1,-225.43613391809316,127.62037936315882,216.60150234236087,20.0,5,17,216.60150234236087
18,19,0,-246.24773287890685,119.86294276691814,139.95459090254246,20.0,5,18,139.95459090254246
19,20,0,-258.7909094059678,114.8984015836293,535.1768845240674,20.0,5,19,
20,21,1,-286.1946044049082,108.74469344592572,381.71485748165577,20.0,5,20,
21,22,1,-305.4272725047421,102.97801228946173,541.9032631600536,20.0,5,20,541.9032631600536
22,23,1,-344.37128356665335,101.05150689870912,513.4359407541406,20.0,5,20,
23,24,0,-382.0452128942057,96.46097244552553,511.97701529328157,20.0,5,23,511.97701529328157
24,25,1,-390.56844585412705,94.78720827236188,241.02959549289145,20.0,5,24,241.02959549289145
25,26,1,-413.48871426446016,88.11339982480446,178.43312410840005,20.0,5,24,178.43312410840005
26,27,1,-414.6473861977788,86.63914554370285,179.31209650458857,20.0,5,24,179.31209650458857
27,28,1,-430.90849960750023,79.66961091679677,180.5260147512513,20.0,5,27,
28,29,0,-457.5640078804294,78.36457143218246,410.944367410935,20.0,5,27,410.944367410935
29,30,0,-482.5112275819323,69.64486962963025,414.28560722732084,20.0,5,27,
30,31,0,-506.448949628934,62.30331995082777,402.93568042060133,20.0,5,27,
31,32,1,-512.9455213803355,55.79330336794666,403.64747962685965,20.0,5,27,
32,33,0,-542.0205234874273,50.523631422265126,403.07938445684164,20.0,5,27,403.07938445684164
33,34,1,-550.4255724350456,48.636814596153215,404.7505175393007,20.0,5,33,
34,35,1,-584.0768329418287,43.93012335147904,277.47696349016013,20.0,5,34,
35,36,0,-618.2103303307747,36.134796681971636,274.01785473216364,20.0,5,34,
36,37,1,-638.459536985963,32.93892040395996,283.21196201730476,20.0,5,36,
37,38,1,-661.4363985544439,30.385287812433766,239.83171329355554,20.0,5,37,
38,39,1,-674.5361467489777,27.159579432835475,189.88769793355252,20.0,5,37,
39,40,0,-701.6511741921421,23.886963749942513,173.02944650568855,20.0,5,39,
40,41,0,-734.6814684131601,17.809577330440455,381.35991268642186,20.0,5,40,
41,42,0,-741.5383619998494,10.91402869406016,17.887742200129033,20.0,5,40,
42,43,1,-769.1344966986718,6.882563244983566,6.569815342512895,20.0,5,40,
43,44,0,-796.2756862464449,3.082239118286366,20.118796793968066,20.0,5,40,
44,45,0,-822.8888786709108,-4.566631078387167,23.686820076901416,20.0,5,44,
45,46,1,-849.4769008007389,-10.107330612313765,232.29209859489976,20.0,5,45,
46,47,0,-884.5413251630397,-17.86396993388396,194.06648504684517,20.0,5,46,
47,48,0,-897.0231963669886,-22.514540806893084,485.809204763552,20.0,5,46,
48,49,0,-927.5806868284682,-23.485936153344813,473.28255908355254,20.0,5,46,
49,50,1,-941.3335425662274,-26.333797658776895,464.85555530978166,20.0,5,49,
50,51,0,-958.5420532579967,-31.337143527517725,437.79560359656585,20.0,5,50,
51,52,1,-981.1289944573338,-33.326884974572934,281.1026066950008,20.0,5,50,
52,53,0,-1001.6620001049014,-41.779173512151985,267.56499364177745,20.0,5,52,
53,54,1,-1013.7450629663016,-46.809524095799745,421.9770067919516,20.0,5,53,
